Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed,Mean Rebuild Frequency
2025-04-25 10:34:17,2,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6150521497,6322243137,6415549347,6320525920,6320525920,100
2025-04-25 10:34:27,5,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3335005494,2327535846,2209858532,2221110001,2221110001,100
2025-04-25 10:34:34,8,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2002285869,1871472175,1831675778,1833381878,1833381878,100
2025-04-25 10:34:50,11,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,4523308642,4174913627,4189857752,4178397577,4178397577,100
2025-04-25 10:35:01,14,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,3393724995,3240397642,3160907238,3163235415,3163235415,100
2025-04-25 10:35:10,17,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2621853903,2308477101,2308529600,2311610869,2311610869,100
2025-04-25 10:35:17,20,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1763119874,1620685057,1671019624,1622109405,1622109405,100
2025-04-25 10:35:33,23,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4581035228,4358375680,4336906570,4339347856,4339347856,100
2025-04-25 10:35:45,26,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3528328675,3420066611,3463657212,3421149231,3421149231,100
2025-04-25 10:35:54,29,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2682164716,2364067559,2339981209,2343403044,2343403044,100
2025-04-25 10:36:02,32,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1851102319,1713751424,1761098866,1715124932,1715124932,100
2025-04-25 10:36:10,35,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,2212119233,2130257347,2140575107,2131075965,2131075965,100
2025-04-25 10:36:17,38,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,1866391237,1680251267,1716145103,1682112666,1682112666,100
2025-04-25 10:36:34,41,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5002129117,4920128385,4903836725,4904819648,4904819648,100
2025-04-25 10:36:48,44,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,3972633729,3849066179,3858453409,3850301854,3850301854,100
2025-04-25 10:36:57,47,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2728045437,2553635389,2550671257,2552444998,2552444998,100
2025-04-25 10:37:05,50,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2068392759,1942326434,1981610319,1943587097,1943587097,100
2025-04-25 10:37:24,53,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5460335172,5333801177,5332156858,5333438641,5333438641,100
2025-04-25 10:37:39,56,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,4480284082,4355986174,4363038493,4357229153,4357229153,100
2025-04-25 10:37:51,59,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,3645148690,3362202842,3375326966,3365032300,3365032300,100
2025-04-25 10:38:01,62,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,2599441013,2465606302,2469979321,2466944649,2466944649,100
2025-04-25 10:38:16,65,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,4561318811,4321840758,4322990888,4324235538,4324235538,100
2025-04-25 10:38:28,68,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3450392665,3321812954,3330535258,3323098751,3323098751,100
2025-04-25 10:38:36,71,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2318984265,2110682892,2068333721,2070840226,2070840226,100
2025-04-25 10:38:42,74,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1419536221,1343246370,1294636288,1295885287,1295885287,100
2025-04-25 10:38:58,77,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,4630091664,4426405027,4455236549,4428441893,4428441893,100
2025-04-25 10:39:10,80,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,3497113069,3366241973,3376453468,3367550683,3367550683,100
2025-04-25 10:39:18,83,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2286217843,2118546460,2061044725,2063296456,2063296456,100
2025-04-25 10:39:24,86,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1469176154,1296293468,1306721895,1298022294,1298022294,100
2025-04-25 10:39:41,89,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,4606616604,4476925470,4478028351,4478222381,4478222381,100
2025-04-25 10:39:54,92,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,3575611218,3426412711,3432667355,3427904696,3427904696,100
2025-04-25 10:40:03,95,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,2848350532,2097537960,2117822176,2105046085,2105046085,100
2025-04-25 10:40:08,98,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,1452595562,1315372198,1319788799,1316744431,1316744431,100
2025-04-25 10:40:26,101,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,4710500150,4573303663,4595663921,4574675627,4574675627,100
2025-04-25 10:40:38,104,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,3686067511,3589315552,3603420831,3590283071,3590283071,100
2025-04-25 10:40:48,107,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,3237328089,2160454401,2165867448,2171223137,2171223137,100
2025-04-25 10:40:54,110,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,1491299281,1352705882,1353241119,1354091815,1354091815,100
2025-04-25 10:42:46,113,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,54981338365,24123003179,24002293006,24312083459,24312083459,100
2025-04-25 10:44:24,116,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,50987065980,20229941066,20207830887,20515623237,20515623237,100
2025-04-25 10:46:14,119,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,54597007440,23913810615,23966690098,24220642583,24220642583,100
2025-04-25 10:47:32,122,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,28608460556,20824041814,20925878625,20901886001,20901886001,100
2025-04-25 10:49:11,125,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,51283551946,20479192102,20548225373,20787235700,20787235700,100
2025-04-25 10:50:24,128,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,27111198636,19157390427,19449663530,19236928509,19236928509,100
2025-04-25 10:52:15,131,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,54908828264,24255520612,24314009135,24562053688,24562053688,100
2025-04-25 10:53:33,134,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,28943078256,21067963191,21254328256,21146714341,21146714341,100
2025-04-25 10:55:10,137,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,50399582205,19749811183,19763309009,20056308893,20056308893,100
2025-04-25 10:56:22,140,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,26709786011,18908384600,19105742157,18986398614,18986398614,100
2025-04-25 10:58:13,143,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,55088476190,24666117325,24712333087,24970340913,24970340913,100
2025-04-25 10:59:32,146,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,29000490133,21388745761,21436345731,21464863204,21464863204,100
2025-04-25 11:01:10,149,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,50570261721,19910746698,20203102370,20217341848,20217341848,100
2025-04-25 11:02:23,152,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,enabled,26743291851,19144015282,19163705577,19220008047,19220008047,100
2025-04-25 11:04:15,155,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,disabled,55418825109,24775586496,24896310273,25082018882,25082018882,100
2025-04-25 11:05:35,158,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,enabled,28945464344,21448418777,21637853251,21523389232,21523389232,100
2025-04-25 11:07:12,161,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,disabled,50486608903,20013126754,20071037588,20317861575,20317861575,100
2025-04-25 11:08:24,164,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,enabled,26704014474,19092545236,19214506592,19168659928,19168659928,100
2025-04-25 11:10:19,167,pairwise,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,disabled,55820147562,25333926921,25422048126,25638789127,25638789127,100
2025-04-25 11:11:39,170,pairwise,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,enabled,29111243932,21859035886,22005353639,21931557966,21931557966,100
2025-04-25 11:13:16,173,pairwise,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,disabled,50344484530,20028135837,20134107174,20331299323,20331299323,100
2025-04-25 11:14:28,176,pairwise,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,enabled,26633600313,19124330833,19260012006,19199423527,19199423527,100
2025-04-25 11:14:57,179,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,16354831605,4621571530,4575982091,4693770586,4693770586,100
2025-04-25 11:15:30,182,pairwise,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,26649271330,1999845724,2013098047,2246339980,2246339980,100
2025-04-25 11:15:54,185,pairwise,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,14220824378,2337098656,2309072942,2428190456,2428190456,100
2025-04-25 11:16:23,188,pairwise,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,22271448848,1930965783,1957272343,2134370613,2134370613,100
2025-04-25 11:16:49,191,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,16525179430,3810368110,3761902891,3889535656,3889535656,100
2025-04-25 11:17:07,194,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,11291602251,2117878520,2158660504,2209615757,2209615757,100
2025-04-25 11:17:39,197,pairwise,VerletListsCells,1.000000,vlc_c18,none,SoA,disabled,26053629229,2139003983,2179664321,2378150235,2378150235,100
2025-04-25 11:18:05,200,pairwise,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,20365225678,1640386873,1703002364,1827635261,1827635261,100
2025-04-25 11:18:27,203,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,disabled,13742228024,3328620186,3323142816,3427333668,3427333668,100
2025-04-25 11:18:41,206,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,7259617740,2010470686,2000767947,2053356444,2053356444,100
2025-04-25 11:19:14,209,pairwise,VerletListsCells,1.000000,vlc_c08,none,SoA,disabled,26580683456,2597057549,2592989717,2832866654,2832866654,100
2025-04-25 11:19:41,212,pairwise,VerletListsCells,1.000000,vlc_c08,none,SoA,enabled,20518593167,1836114055,1865974004,2022938846,2022938846,100
2025-04-25 11:20:06,215,pairwise,VerletListsCells,1.000000,vlc_sliced,none,AoS,disabled,17827552118,2546861132,2670257866,2699668041,2699668041,100
2025-04-25 11:20:22,218,pairwise,VerletListsCells,1.000000,vlc_sliced,none,AoS,enabled,11090400537,1557406274,1544251669,1639713157,1639713157,100
2025-04-25 11:21:01,221,pairwise,VerletListsCells,1.000000,vlc_sliced,none,SoA,disabled,31668768817,1966283807,2011765271,2263308657,2263308657,100
2025-04-25 11:21:27,224,pairwise,VerletListsCells,1.000000,vlc_sliced,none,SoA,enabled,21754386055,1457319196,1446810808,1649886560,1649886560,100
2025-04-25 11:21:51,227,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,disabled,16616296898,2608914174,2582149257,2722490733,2722490733,100
2025-04-25 11:22:07,230,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,enabled,11032768243,1653069775,1640100594,1734027270,1734027270,100
2025-04-25 11:22:44,233,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,none,SoA,disabled,29798588077,1991604840,2023988009,2269674672,2269674672,100
2025-04-25 11:23:11,236,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,none,SoA,enabled,22298433526,1478890681,1525359269,1687086109,1687086109,100
2025-04-25 11:23:37,239,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,disabled,15519161700,2289386295,2292243618,2421684049,2421684049,100
2025-04-25 11:23:53,242,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,enabled,10192388498,1544520107,1539121459,1625654129,1625654129,100
2025-04-25 11:24:17,245,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,SoA,disabled,18460357813,1951351324,1955508758,2116441388,2116441388,100
2025-04-25 11:24:36,248,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,SoA,enabled,14152988451,1465891602,1491447573,1592762570,1592762570,100
2025-04-25 11:25:02,251,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,disabled,15036789963,2425563288,2452525491,2551675554,2551675554,100
2025-04-25 11:25:17,254,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,enabled,10354657000,1578336220,1583366693,1666099427,1666099427,100
2025-04-25 11:25:42,257,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,SoA,disabled,18871566090,1994776487,2028180326,2163544383,2163544383,100
2025-04-25 11:26:01,260,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,SoA,enabled,14248966771,1435461220,1442615737,1563596275,1563596275,100
2025-04-25 11:26:27,263,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,disabled,15000424509,2517114540,2519330769,2641947639,2641947639,100
2025-04-25 11:26:42,266,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,10307577715,1590420906,1581925875,1669182393,1669182393,100
2025-04-25 11:27:07,269,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,disabled,18748023686,1960126401,1970394406,2128005373,2128005373,100
2025-04-25 11:27:26,272,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,enabled,13997942237,1396779754,1420958672,1522791378,1522791378,100
2025-04-25 11:28:04,275,pairwise,PairwiseVerletLists,1.000000,vlp_c01,none,AoS,disabled,24861420714,3975842757,3992328325,4184698536,4184698536,100
2025-04-25 11:29:06,278,pairwise,PairwiseVerletLists,1.000000,vlp_c01,none,SoA,disabled,53381568710,3689940298,3690661406,4186856582,4186856582,100
2025-04-25 11:30:11,281,pairwise,PairwiseVerletLists,1.000000,vlp_c18,none,AoS,disabled,46494814472,7746776383,7748857810,8134256763,8134256763,100
2025-04-25 11:30:54,284,pairwise,PairwiseVerletLists,1.000000,vlp_c18,none,AoS,enabled,34688679581,3448496001,3598553930,3760897836,3760897836,100
2025-04-25 11:32:09,287,pairwise,PairwiseVerletLists,1.000000,vlp_c18,none,SoA,disabled,62398286468,5072256905,5129844248,5645517200,5645517200,100
2025-04-25 11:33:23,290,pairwise,PairwiseVerletLists,1.000000,vlp_c18,none,SoA,enabled,60925106330,5267763463,5270232556,5824336891,5824336891,100
2025-04-25 11:34:30,293,pairwise,PairwiseVerletLists,1.000000,vlp_sliced,none,AoS,disabled,49576545275,7514727143,7692952399,7935345324,7935345324,100
2025-04-25 11:35:29,296,pairwise,PairwiseVerletLists,1.000000,vlp_sliced,none,AoS,enabled,46424679213,4406345040,4643148488,4826528381,4826528381,100
2025-04-25 11:37:02,299,pairwise,PairwiseVerletLists,1.000000,vlp_sliced,none,SoA,disabled,80691597906,5185331265,5188709313,5940393931,5940393931,100
2025-04-25 11:38:27,302,pairwise,PairwiseVerletLists,1.000000,vlp_sliced,none,SoA,enabled,73089283812,4770496681,4775127223,5453684552,5453684552,100
2025-04-25 11:39:43,305,pairwise,PairwiseVerletLists,1.000000,vlp_sliced_balanced,none,AoS,disabled,55888200482,8508371059,8875520156,8982169353,8982169353,100
2025-04-25 11:40:51,308,pairwise,PairwiseVerletLists,1.000000,vlp_sliced_balanced,none,AoS,enabled,54217370227,5074747636,5061432907,5552992280,5552992280,100
2025-04-25 11:42:34,311,pairwise,PairwiseVerletLists,1.000000,vlp_sliced_balanced,none,SoA,disabled,90336025953,5278673757,5358858039,6129247278,6129247278,100
2025-04-25 11:44:19,314,pairwise,PairwiseVerletLists,1.000000,vlp_sliced_balanced,none,SoA,enabled,92128051307,5129964204,5140608273,5999945075,5999945075,100
2025-04-25 11:45:47,317,pairwise,PairwiseVerletLists,1.000000,vlp_sliced_c02,none,AoS,disabled,65705060674,9295048377,9597106281,9859148499,9859148499,100
2025-04-25 11:47:03,320,pairwise,PairwiseVerletLists,1.000000,vlp_sliced_c02,none,AoS,enabled,62408861881,5561416418,5575888276,6129890872,6129890872,100
2025-04-25 11:49:02,323,pairwise,PairwiseVerletLists,1.000000,vlp_sliced_c02,none,SoA,disabled,104812708857,56758326