Iteration, Estimate
0,180.781
1,128.125
2,128.127
3,128.128
4,128.129
5,128.13
6,128.131
7,128.132
8,128.133
9,128.134
10,128.136
11,128.137
12,128.138
13,128.139
14,128.14
15,128.141
16,128.143
17,128.144
18,128.145
19,128.146
20,128.147
21,128.149
22,128.15
23,128.151
24,128.152
25,128.154
26,128.155
27,128.156
28,128.158
29,128.159
30,128.16
31,128.162
32,128.163
33,128.164
34,128.166
35,128.167
36,128.168
37,128.17
38,128.171
39,128.173
40,128.174
41,128.175
42,128.177
43,128.178
44,128.18
45,128.181
46,128.183
47,128.184
48,128.186
49,128.187
50,128.189
51,128.19
52,128.192
53,128.193
54,128.195
55,128.196
56,128.198
57,128.2
58,128.201
59,128.203
60,128.204
61,128.206
62,128.208
63,128.209
64,128.211
65,128.213
66,128.214
67,128.216
68,128.218
69,128.219
70,128.221
71,128.223
72,128.225
73,128.226
74,128.228
75,128.23
76,128.232
77,128.233
78,128.235
79,128.237
80,128.239
81,128.241
82,128.242
83,128.244
84,128.246
85,128.248
86,128.25
87,128.252
88,128.254
89,128.255
90,128.257
91,128.259
92,128.261
93,128.263
94,128.265
95,128.267
96,128.269
97,128.271
98,128.273
99,128.275
100,128.277
101,104.939
102,104.94
103,104.942
104,104.943
105,104.944
106,104.946
107,104.947
108,104.949
109,104.95
110,104.951
111,104.953
112,104.954
113,104.956
114,104.957
115,104.959
116,104.96
117,104.962
118,104.963
119,104.965
120,104.966
121,104.968
122,104.969
123,104.971
124,104.972
125,104.974
126,104.975
127,104.977
128,104.978
129,104.98
130,104.982
131,104.983
132,104.985
133,104.987
134,104.988
135,104.99
136,104.991
137,104.993
138,104.995
139,104.996
140,104.998
141,105
142,105.002
143,105.003
144,105.005
145,105.007
146,105.008
147,105.01
148,105.012
149,105.014
150,105.015
151,105.017
152,105.019
153,105.021
154,105.023
155,105.024
156,105.026
157,105.028
158,105.03
159,105.032
160,105.034
161,105.036
162,105.037
163,105.039
164,105.041
165,105.043
166,105.045
167,105.047
168,105.049
169,105.051
170,105.053
171,105.055
172,105.057
173,105.059
174,105.061
175,105.063
176,105.065
177,105.067
178,105.069
179,105.071
180,105.073
181,105.075
182,105.077
183,105.079
184,105.081
185,105.083
186,105.085
187,105.088
188,105.09
189,105.092
190,105.094
191,105.096
192,105.098
193,105.1
194,105.103
195,105.105
196,105.107
197,105.109
198,105.111
199,105.114
200,105.116
201,91.1822
202,91.1839
203,91.1856
204,91.1874
205,91.1891
206,91.1908
207,91.1925
208,91.1943
209,91.196
210,91.1978
211,91.1996
212,91.2014
213,91.2031
214,91.2049
215,91.2067
216,91.2086
217,91.2104
218,91.2122
219,91.2141
220,91.2159
221,91.2178
222,91.2196
223,91.2215
224,91.2234
225,91.2253
226,91.2272
227,91.2291
228,91.231
229,91.2329
230,91.2349
231,91.2368
232,91.2388
233,91.2407
234,91.2427
235,91.2447
236,91.2467
237,91.2487
238,91.2507
239,91.2527
240,91.2547
241,91.2568
242,91.2588
243,91.2609
244,91.2629
245,91.265
246,91.2671
247,91.2692
248,91.2713
249,91.2734
250,91.2755
251,91.2776
252,91.2798
253,91.2819
254,91.2841
255,91.2863
256,91.2884
257,91.2906
258,91.2928
259,91.295
260,91.2972
261,91.2994
262,91.3017
263,91.3039
264,91.3062
265,91.3084
266,91.3107
267,91.313
268,91.3153
269,91.3176
270,91.3199
271,91.3222
272,91.3245
273,91.3268
274,91.3292
275,91.3316
276,91.3339
277,91.3363
278,91.3387
279,91.3411
280,91.3435
281,91.3459
282,91.3483
283,91.3508
284,91.3532
285,91.3557
286,91.3581
287,91.3606
288,91.3631
289,91.3656
290,91.3681
291,91.3706
292,91.3731
293,91.3757
294,91.3782
295,91.3808
296,91.3833
297,91.3859
298,91.3885
299,91.3911
300,91.3937
301,81.8567
302,81.8588
303,81.8609
304,81.863
305,81.8651
306,81.8673
307,81.8694
308,81.8716
309,81.8738
310,81.8759
311,81.8781
312,81.8803
313,81.8825
314,81.8847
315,81.887
316,81.8892
317,81.8914
318,81.8937
319,81.896
320,81.8982
321,81.9005
322,81.9028
323,81.9051
324,81.9074
325,81.9098
326,81.9121
327,81.9144
328,81.9168
329,81.9191
330,81.9215
331,81.9239
332,81.9263
333,81.9287
334,81.9311
335,81.9335
336,81.9359
337,81.9384
338,81.9408
339,81.9433
340,81.9458
341,81.9483
342,81.9508
343,81.9533
344,81.9558
345,81.9583
346,81.9608
347,81.9634
348,81.9659
349,81.9685
350,81.9711
351,81.9737
352,81.9763
353,81.9789
354,81.9815
355,81.9841
356,81.9867
357,81.9894
358,81.9921
359,81.9947
360,81.9974
361,82.0001
362,82.0028
363,82.0055
364,82.0083
365,82.011
366,82.0137
367,82.0165
368,82.0193
369,82.022
370,82.0248
371,82.0276
372,82.0305
373,82.0333
374,82.0361
375,82.039
376,82.0418
377,82.0447
378,82.0476
379,82.0505
380,82.0534
381,82.0563
382,82.0592
383,82.0621
384,82.0651
385,82.0681
386,82.071
387,82.074
388,82.077
389,82.08
390,82.083
391,82.0861
392,82.0891
393,82.0922
394,82.0952
395,82.0983
396,82.1014
397,82.1045
398,82.1076
399,82.1107
400,82.1139
401,75.0387
402,75.0413
403,75.0439
404,75.0466
405,75.0493
406,75.0519
407,75.0546
408,75.0573
409,75.06
410,75.0628
411,75.0655
412,75.0683
413,75.071
414,75.0738
415,75.0766
416,75.0794
417,75.0822
418,75.085
419,75.0878
420,75.0906
421,75.0935
422,75.0964
423,75.0992
424,75.1021
425,75.105
426,75.1079
427,75.1109
428,75.1138
429,75.1167
430,75.1197
431,75.1227
432,75.1257
433,75.1286
434,75.1317
435,75.1347
436,75.1377
437,75.1408
438,75.1438
439,75.1469
440,75.15
441,75.1531
442,75.1562
443,75.1593
444,75.1624
445,75.1656
446,75.1687
447,75.1719
448,75.1751
449,75.1783
450,75.1815
451,75.1847
452,75.1879
453,75.1912
454,75.1944
455,75.1977
456,75.201
457,75.2043
458,75.2076
459,75.2109
460,75.2143
461,75.2176
462,75.221
463,75.2244
464,75.2278
465,75.2312
466,75.2346
467,75.238
468,75.2415
469,75.2449
470,75.2484
471,75.2519
472,75.2554
473,75.2589
474,75.2624
475,75.266
476,75.2695
477,75.2731
478,75.2767
479,75.2803
480,75.2839
481,75.2875
482,75.2912
483,75.2948
484,75.2985
485,75.3022
486,75.3059
487,75.3096
488,75.3133
489,75.3171
490,75.3208
491,75.3246
492,75.3284
493,75.3322
494,75.336
495,75.3398
496,75.3437
497,75.3475
498,75.3514
499,75.3553
500,75.3592
501,69.8158
502,69.8191
503,69.8225
504,69.8259
505,69.8293
506,69.8328
507,69.8362
508,69.8397
509,69.8431
510,69.8466
511,69.8501
512,69.8536
513,69.8572
514,69.8607
515,69.8643
516,69.8678
517,69.8714
518,69.875
519,69.8787
520,69.8823
521,69.8859
522,69.8896
523,69.8933
524,69.897
525,69.9007
526,69.9044
527,69.9081
528,69.9119
529,69.9157
530,69.9195
531,69.9233
532,69.9271
533,69.9309
534,69.9348
535,69.9386
536,69.9425
537,69.9464
538,69.9503
539,69.9542
540,69.9582
541,69.9622
542,69.9661
543,69.9701
544,69.9741
545,69.9782
546,69.9822
547,69.9863
548,69.9903
549,69.9944
550,69.9985
551,70.0027
552,70.0068
553,70.011
554,70.0151
555,70.0193
556,70.0235
557,70.0278
558,70.032
559,70.0363
560,70.0405
561,70.0448
562,70.0492
563,70.0535
564,70.0578
565,70.0622
566,70.0666
567,70.071
568,70.0754
569,70.0798
570,70.0843
571,70.0888
572,70.0933
573,70.0978
574,70.1023
575,70.1068
576,70.1114
577,70.116
578,70.1206
579,70.1252
580,70.1298
581,70.1345
582,70.1392
583,70.1438
584,70.1486
585,70.1533
586,70.158
587,70.1628
588,70.1676
589,70.1724
590,70.1772
591,70.1821
592,70.1869
593,70.1918
594,70.1967
595,70.2016
596,70.2066
597,70.2115
598,70.2165
599,70.2215
600,70.2265
601,65.7008
602,65.7052
603,65.7096
604,65.7141
605,65.7185
606,65.723
607,65.7276
608,65.7321
609,65.7366
610,65.7412
611,65.7458
612,65.7504
613,65.755
614,65.7597
615,65.7644
616,65.769
617,65.7738
618,65.7785
619,65.7832
620,65.788
621,65.7928
622,65.7976
623,65.8024
624,65.8073
625,65.8121
626,65.817
627,65.8219
628,65.8269
629,65.8318
630,65.8368
631,65.8418
632,65.8468
633,65.8518
634,65.8569
635,65.8619
636,65.867
637,65.8722
638,65.8773
639,65.8825
640,65.8876
641,65.8928
642,65.8981
643,65.9033
644,65.9086
645,65.9139
646,65.9192
647,65.9245
648,65.9299
649,65.9353
650,65.9407
651,65.9461
652,65.9515
653,65.957
654,65.9625
655,65.968
656,65.9735
657,65.9791
658,65.9847
659,65.9903
660,65.9959
661,66.0015
662,66.0072
663,66.0129
664,66.0186
665,66.0244
666,66.0301
667,66.0359
668,66.0418
669,66.0476
670,66.0535
671,66.0593
672,66.0652
673,66.0712
674,66.0771
675,66.0831
676,66.0891
677,66.0952
678,66.1012
679,66.1073
680,66.1134
681,66.1195
682,66.1257
683,66.1319
684,66.1381
685,66.1443
686,66.1506
687,66.1568
688,66.1631
689,66.1695
690,66.1758
691,66.1822
692,66.1886
693,66.195
694,66.2015
695,66.208
696,66.2145
697,66.221
698,66.2276
699,66.2342
700,66.2408
701,62.4175
702,62.4234
703,62.4294
704,62.4353
705,62.4413
706,62.4473
707,62.4534
708,62.4594
709,62.4655
710,62.4716
711,62.4778
712,62.484
713,62.4901
714,62.4964
715,62.5026
716,62.5089
717,62.5152
718,62.5215
719,62.5279
720,62.5342
721,62.5406
722,62.5471
723,62.5535
724,62.56
725,62.5665
726,62.5731
727,62.5796
728,62.5862
729,62.5928
730,62.5995
731,62.6062
732,62.6129
733,62.6196
734,62.6264
735,62.6332
736,62.64
737,62.6468
738,62.6537
739,62.6606
740,62.6675
741,62.6745
742,62.6815
743,62.6885
744,62.6956
745,62.7026
746,62.7097
747,62.7169
748,62.724
749,62.7312
750,62.7385
751,62.7457
752,62.753
753,62.7603
754,62.7676
755,62.775
756,62.7824
757,62.7899
758,62.7973
759,62.8048
760,62.8123
761,62.8199
762,62.8275
763,62.8351
764,62.8428
765,62.8504
766,62.8581
767,62.8659
768,62.8737
769,62.8815
770,62.8893
771,62.8972
772,62.9051
773,62.913
774,62.921
775,62.929
776,62.937
777,62.9451
778,62.9531
779,62.9613
780,62.9694
781,62.9776
782,62.9858
783,62.994
784,63.0023
785,63.0106
786,63.019
787,63.0274
788,63.0358
789,63.0442
790,63.0527
791,63.0612
792,63.0697
793,63.0783
794,63.0869
795,63.0956
796,63.1043
797,63.113
798,63.1217
799,63.1305
800,63.1393
801,59.8092
802,59.8171
803,59.8251
804,59.8332
805,59.8412
806,59.8493
807,59.8574
808,59.8656
809,59.8738
810,59.882
811,59.8903
812,59.8986
813,59.9069
814,59.9153
815,59.9237
816,59.9321
817,59.9406
818,59.9491
819,59.9576
820,59.9662
821,59.9748
822,59.9835
823,59.9921
824,59.9947
825,59.9943
826,59.994
827,59.9936
828,59.9933
829,59.9929
830,59.9925
831,59.9921
832,59.9918
833,59.9914
834,59.991
835,59.9906
836,59.9901
837,59.9897
838,59.9893
839,59.9889
840,59.9885
841,59.988
842,59.9876
843,59.9871
844,59.9867
845,59.9863
846,59.9858
847,59.9853
848,59.9849
849,59.9844
850,59.9839
851,59.9835
852,59.983
853,59.9825
854,59.982
855,59.9815
856,59.981
857,59.9805
858,59.98
859,59.9795
860,59.979
861,59.9784
862,59.9779
863,59.9774
864,59.9769
865,59.9763
866,59.9758
867,59.9752
868,59.9747
869,59.9741
870,59.9735
871,59.973
872,59.9724
873,59.9718
874,59.9712
875,59.9707
876,59.9701
877,59.9695
878,59.9689
879,59.9683
880,59.9676
881,59.967
882,59.9664
883,59.9658
884,59.9651
885,59.9645
886,59.9639
887,59.9632
888,59.9626
889,59.9619
890,59.9613
891,59.9606
892,59.9599
893,59.9593
894,59.9586
895,59.9579
896,59.9572
897,59.9565
898,59.9558
899,59.9551
900,59.9544
901,57.0006
902,57
903,56.9993
904,56.9986
905,56.998
906,56.9973
907,56.9966
908,56.996
909,56.9953
910,56.9946
911,56.9939
912,56.9932
913,56.9925
914,56.9918
915,56.9911
916,56.9904
917,56.9897
918,56.9889
919,56.9882
920,56.9875
921,56.9867
922,56.986
923,56.9852
924,56.9845
925,56.9837
926,56.983
927,56.9822
928,56.9814
929,56.9806
930,56.9798
931,56.9791
932,56.9783
933,56.9775
934,56.9767
935,56.9758
936,56.975
937,56.9742
938,56.9733
939,56.9725
940,56.9717
941,56.9708
942,56.9699
943,56.9691
944,56.9682
945,56.9673
946,56.9665
947,56.9656
948,56.9647
949,56.9638
950,56.9629
951,56.962
952,56.9611
953,56.9602
954,56.9593
955,56.9584
956,56.9574
957,56.9565
958,56.9556
959,56.9546
960,56.9537
961,56.9527
962,56.9517
963,56.9508
964,56.9498
965,56.9488
966,56.9479
967,56.9469
968,56.9459
969,56.9448
970,56.9438
971,56.9428
972,56.9418
973,56.9408
974,56.9397
975,56.9387
976,56.9376
977,56.9366
978,56.9355
979,56.9345
980,56.9334
981,56.9323
982,56.9313
983,56.9302
984,56.9291
985,56.928
986,56.9269
987,56.9257
988,56.9246
989,56.9235
990,56.9224
991,56.9212
992,56.9201
993,56.9189
994,56.9178
995,56.9166
996,56.9155
997,56.9143
998,56.9131
999,56.9119
1000,56.9108
1001,54.2596
1002,54.2585
1003,54.2574
1004,54.2563
1005,54.2552
1006,54.2541
1007,54.253
1008,54.2518
1009,54.2507
1010,54.2496
1011,54.2485
1012,54.2473
1013,54.2462
1014,54.245
1015,54.2439
1016,54.2427
1017,54.2416
1018,54.2404
1019,54.2392
1020,54.238
1021,54.2368
1022,54.2356
1023,54.2344
1024,54.2332
1025,54.232
1026,54.2308
1027,54.2296
1028,54.2284
1029,54.2271
1030,54.2259
1031,54.2247
1032,54.2234
1033,54.2222
1034,54.2209
1035,54.2196
1036,54.2184
1037,54.2171
1038,54.2158
1039,54.2145
1040,54.2133
1041,54.212
1042,54.2107
1043,54.2093
1044,54.208
1045,54.2067
1046,54.2054
1047,54.2041
1048,54.2027
1049,54.2014
1050,54.2
1051,54.1987
1052,54.1973
1053,54.196
1054,54.1946
1055,54.1932
1056,54.1918
1057,54.1905
1058,54.1891
1059,54.1877
1060,54.1863
1061,54.1849
1062,54.1834
1063,54.182
1064,54.1806
1065,54.1792
1066,54.1777
1067,54.1763
1068,54.1748
1069,54.1734
1070,54.1719
1071,54.1705
1072,54.169
1073,54.1675
1074,54.166
1075,54.1645
1076,54.163
1077,54.1615
1078,54.16
1079,54.1585
1080,54.157
1081,54.1554
1082,54.1539
1083,54.1523
1084,54.1508
1085,54.1492
1086,54.1477
1087,54.1461
1088,54.1445
1089,54.143
1090,54.1414
1091,54.1398
1092,54.1382
1093,54.1366
1094,54.135
1095,54.1334
1096,54.1317
1097,54.1301
1098,54.1285
1099,54.1269
1100,54.1252
1101,51.7208
1102,51.7193
1103,51.7178
1104,51.7163
1105,51.7147
1106,51.7132
1107,51.7117
1108,51.7101
1109,51.7086
1110,51.707
1111,51.7055
1112,51.7039
1113,51.7023
1114,51.7007
1115,51.6992
1116,51.6976
1117,51.696
1118,51.6944
1119,51.6928
1120,51.6912
1121,51.6895
1122,51.6879
1123,51.6863
1124,51.6847
1125,51.683
1126,51.6814
1127,51.6797
1128,51.6781
1129,51.6764
1130,51.6747
1131,51.6731
1132,51.6714
1133,51.6697
1134,51.668
1135,51.6663
1136,51.6646
1137,51.6629
1138,51.6612
1139,51.6595
1140,51.6578
1141,51.656
1142,51.6543
1143,51.6525
1144,51.6508
1145,51.649
1146,51.6473
1147,51.6455
1148,51.6437
1149,51.642
1150,51.6402
1151,51.6384
1152,51.6366
1153,51.6348
1154,51.633
1155,51.6312
1156,51.6294
1157,51.6275
1158,51.6257
1159,51.6239
1160,51.622
1161,51.6202
1162,51.6183
1163,51.6165
1164,51.6146
1165,51.6127
1166,51.6109
1167,51.609
1168,51.6071
1169,51.6052
1170,51.6033
1171,51.6014
1172,51.5995
1173,51.5975
1174,51.5956
1175,51.5937
1176,51.5918
1177,51.5898
1178,51.5879
1179,51.5859
1180,51.584
1181,51.582
1182,51.58
1183,51.578
1184,51.5761
1185,51.5741
1186,51.5721
1187,51.5701
1188,51.5681
1189,51.5661
1190,51.564
1191,51.562
1192,51.56
1193,51.5579
1194,51.5559
1195,51.5539
1196,51.5518
1197,51.5497
1198,51.5477
1199,51.5456
1200,51.5435
1201,49.3597
1202,49.3578
1203,49.3559
1204,49.354
1205,49.3521
1206,49.3501
1207,49.3482
1208,49.3462
1209,49.3443
1210,49.3423
1211,49.3403
1212,49.3384
1213,49.3364
1214,49.3344
1215,49.3324
1216,49.3304
1217,49.3284
1218,49.3264
1219,49.3244
1220,49.3224
1221,49.3204
1222,49.3184
1223,49.3163
1224,49.3143
1225,49.3122
1226,49.3102
1227,49.3081
1228,49.3061
1229,49.304
1230,49.3019
1231,49.2998
1232,49.2978
1233,49.2957
1234,49.2936
1235,49.2915
1236,49.2894
1237,49.2872
1238,49.2851
1239,49.283
1240,49.2808
1241,49.2787
1242,49.2766
1243,49.2744
1244,49.2722
1245,49.2701
1246,49.2679
1247,49.2657
1248,49.2636
1249,49.2614
1250,49.2592
1251,49.257
1252,49.2548
1253,49.2526
1254,49.2503
1255,49.2481
1256,49.2459
1257,49.2437
1258,49.2414
1259,49.2392
1260,49.2369
1261,49.2347
1262,49.2324
1263,49.2301
1264,49.2279
1265,49.2256
1266,49.2233
1267,49.221
1268,49.2187
1269,49.2164
1270,49.2141
1271,49.2118
1272,49.2094
1273,49.2071
1274,49.2048
1275,49.2024
1276,49.2001
1277,49.1977
1278,49.1954
1279,49.193
1280,49.1906
1281,49.1882
1282,49.1859
1283,49.1835
1284,49.1811
1285,49.1786
1286,49.1762
1287,49.1738
1288,49.1714
1289,49.169
1290,49.1665
1291,49.1641
1292,49.1616
1293,49.1592
1294,49.1567
1295,49.1543
1296,49.1518
1297,49.1493
1298,49.1468
1299,49.1444
1300,49.1419
1301,47.1692
1302,47.1669
1303,47.1646
1304,47.1623
1305,47.16
1306,47.1576
1307,47.1553
1308,47.153
1309,47.1506
1310,47.1483
1311,47.1459
1312,47.1436
1313,47.1412
1314,47.1388
1315,47.1364
1316,47.1341
1317,47.1317
1318,47.1293
1319,47.1269
1320,47.1245
1321,47.1221
1322,47.1197
1323,47.1172
1324,47.1148
1325,47.1124
1326,47.1099
1327,47.1075
1328,47.1051
1329,47.1026
1330,47.1001
1331,47.0977
1332,47.0952
1333,47.0927
1334,47.0903
1335,47.0878
1336,47.0853
1337,47.0828
1338,47.0803
1339,47.0778
1340,47.0753
1341,47.0728
1342,47.0702
1343,47.0677
1344,47.0652
1345,47.0626
1346,47.0601
1347,47.0575
1348,47.055
1349,47.0524
1350,47.0499
1351,47.0473
1352,47.0447
1353,47.0421
1354,47.0396
1355,47.037
1356,47.0344
1357,47.0318
1358,47.0292
1359,47.0265
1360,47.0239
1361,47.0213
1362,47.0187
1363,47.016
1364,47.0134
1365,47.0108
1366,47.0081
1367,47.0055
1368,47.0028
1369,47.0001
1370,46.9975
1371,46.9948
1372,46.9921
1373,46.9894
1374,46.9867
1375,46.984
1376,46.9813
1377,46.9786
1378,46.9759
1379,46.9732
1380,46.9705
1381,46.9677
1382,46.965
1383,46.9623
1384,46.9595
1385,46.9568
1386,46.954
1387,46.9512
1388,46.9485
1389,46.9457
